id,type,tr_train_RMSE,tr_test_RMSE,rf_train_RMSE,rf_test_RMSE
1403,MICRO,0.2131,0.2765,0.082,0.2722
1404,MICRO,0.1452,0.2727,0.0657,0.2472
1406,MICRO,0.2132,0.2545,0.0888,0.2462
1407,MICRO,0.1776,0.2274,0.0728,0.2206
1408,MICRO,0.1697,0.2347,0.0689,0.2566
1409,MICRO,0.2008,0.2154,0.0743,0.2275
1411,MICRO,0.1927,0.1851,0.0895,0.1367
1413,MICRO,0.1846,0.3588,0.0921,0.2841
1414,MICRO,0.2433,0.4364,0.0986,0.2803
1415,MICRO,0.1994,0.2956,0.0835,0.2815
1418,MICRO,0.1911,0.3774,0.0767,0.3718
1419,MICRO,0.1728,0.2964,0.071,0.2977
1420,MICRO,0.1409,0.2575,0.0882,0.2219
1422,MICRO,0.1535,0.3077,0.0844,0.2859
1424,MICRO,0.0956,0.3127,0.0449,0.3287
1425,MICRO,0.1038,0.2756,0.0779,0.2189
1426,MICRO,0.2047,0.3497,0.0841,0.3012
1427,MICRO,0.1661,0.327,0.0882,0.2844
1428,MICRO,0.1135,0.2425,0.08,0.2379
1429,MICRO,0.1482,0.36,0.0625,0.3161
1431,MICRO,0.1704,0.3147,0.0664,0.3334
1433,MICRO,0.0981,0.2383,0.0489,0.2157
1434,MICRO,0.1003,0.2903,0.0468,0.2941
1439,MICRO,0.1947,0.2418,0.0727,0.2357
1440,MICRO,0.1912,0.3727,0.0943,0.2782
1441,MICRO,0.1051,0.2542,0.0695,0.2609
1442,MICRO,0.2397,0.2341,0.097,0.2535
1447,MICRO,0.1946,0.3056,0.0933,0.3223
1448,MICRO,0.078,0.2415,0.032,0.2542
1449,MICRO,0.2031,0.2839,0.0786,0.2845
1450,MICRO,0.1397,0.3077,0.0698,0.1999
1451,MICRO,0.0948,0.3379,0.062,0.3227
1453,MICRO,0.1649,0.2713,0.094,0.2208
1454,MICRO,0.2169,0.216,0.0866,0.2112
1457,MICRO,0.2336,0.2781,0.0947,0.2675
1458,MICRO,0.1736,0.2713,0.0877,0.2837
1459,MICRO,0.137,0.2144,0.0627,0.2152
