id,type,tr_train_RMSE,tr_test_RMSE,rf_train_RMSE,rf_test_RMSE
2589,FINANCE,0.0129,0.2718,0.0015,0.2670
2186,INDUSTRY,0.1596,0.3041,0.0677,0.3074
2250,MACRO,0.0329,0.4017,0.0096,0.4035
1737,MICRO,0.1369,0.2193,0.0676,0.2216
2786,OTHER,0.0850,0.1987,0.0354,0.2074
2727,DEMOGRAPHIC,0.0469,0.3240,0.0174,0.2733
2598,FINANCE,0.1214,0.2859,0.0529,0.2332
2177,INDUSTRY,0.1426,0.2320,0.0621,0.2240
2476,MACRO,0.0553,0.2748,0.0391,0.1979
1812,MICRO,0.0982,0.2363,0.0456,0.2222
2783,OTHER,0.1826,0.2891,0.0871,0.2465
2682,DEMOGRAPHIC,0.0644,0.2223,0.0340,0.2262
2568,FINANCE,0.0346,0.1198,0.0350,0.1783
1894,INDUSTRY,0.1332,0.2903,0.0585,0.4330
2271,MACRO,0.1102,0.3600,0.0406,0.3907
1601,MICRO,0.1243,0.2001,0.0491,0.2018
2798,OTHER,0.0747,0.1138,0.0310,0.1337
2667,DEMOGRAPHIC,0.0290,0.2917,0.0174,0.3049
2645,FINANCE,0.0861,0.1878,0.0231,0.1963
2200,INDUSTRY,0.0967,0.3294,0.0641,0.3166
2451,MACRO,0.1259,0.2300,0.0512,0.2460
1738,MICRO,0.1017,0.2681,0.0462,0.2655
2829,OTHER,0.0258,0.2264,0.0081,0.2279
2737,DEMOGRAPHIC,0.0747,0.1298,0.0465,0.2091
2524,FINANCE,0.0253,0.4415,0.0051,0.4587
2139,INDUSTRY,0.1331,0.3366,0.0631,0.3276
2403,MACRO,0.1001,0.3241,0.0216,0.3692
1856,MICRO,0.1732,0.2722,0.0685,0.2635
2820,OTHER,0.0180,0.2450,0.0065,0.2228
2752,DEMOGRAPHIC,0.0670,0.2210,0.0671,0.1798
2594,FINANCE,0.0748,0.5970,0.0150,0.7371
2123,INDUSTRY,0.1679,0.2908,0.0682,0.3050
2381,MACRO,0.0796,0.4365,0.0293,0.1407
1458,MICRO,0.1736,0.2713,0.0877,0.2837
2800,OTHER,0.0675,0.1030,0.0324,0.1387
2697,DEMOGRAPHIC,0.0141,0.3956,0.0032,0.3967
2587,FINANCE,0.0372,0.4467,0.0136,0.5275
1961,INDUSTRY,0.1482,0.3097,0.0599,0.3054
2479,MACRO,0.1095,0.2862,0.0489,0.2672
1800,MICRO,0.1128,0.2166,0.0574,0.2088
2813,OTHER,0.0200,0.3199,0.0068,0.3161
2772,DEMOGRAPHIC,0.1539,0.2278,0.0671,0.2280
2653,FINANCE,0.1569,0.1240,0.0512,0.2110
2197,INDUSTRY,0.0695,0.1810,0.0608,0.1999
2308,MACRO,0.0571,0.1910,0.0246,0.2610
1844,MICRO,0.1983,0.2622,0.0921,0.2539
2792,OTHER,0.0738,0.1022,0.0356,0.1149
2725,DEMOGRAPHIC,0.0524,0.3014,0.0296,0.2558
2578,FINANCE,0.1155,0.3408,0.0486,0.3132
2070,INDUSTRY,0.0839,0.2187,0.0417,0.2174
2415,MACRO,0.0689,0.2234,0.0288,0.2447
1541,MICRO,0.1834,0.2260,0.0772,0.2400
2779,OTHER,0.2211,0.2519,0.0846,0.2549
2763,DEMOGRAPHIC,0.2069,0.5918,0.0423,0.2610
2636,FINANCE,0.0990,0.2178,0.0417,0.2857
2096,INDUSTRY,0.0736,0.0794,0.0465,0.0987
2467,MACRO,0.0916,0.3042,0.0293,0.2807
1659,MICRO,0.1321,0.2223,0.0850,0.1411
2782,OTHER,0.1713,0.2859,0.0718,0.2913
2741,DEMOGRAPHIC,0.1175,0.3517,0.0647,0.2195
2583,FINANCE,0.0908,0.2695,0.0348,0.1402
1985,INDUSTRY,0.1563,0.4094,0.0657,0.4394
2386,MACRO,0.0239,0.7096,0.0053,0.6702
1609,MICRO,0.0692,0.2394,0.0505,0.2562
2787,OTHER,0.0768,0.1328,0.0328,0.1368
2705,DEMOGRAPHIC,0.0532,0.1511,0.0376,0.1490
2584,FINANCE,0.0319,0.3173,0.0064,0.1064
1901,INDUSTRY,0.0726,0.2650,0.0275,0.2598
2440,MACRO,0.0994,0.5302,0.0407,0.3925
1861,MICRO,0.1618,0.2733,0.0709,0.2715
2791,OTHER,0.0861,0.1312,0.0416,0.1326
2775,DEMOGRAPHIC,0.0593,0.1097,0.0352,0.1012
2542,FINANCE,0.0337,0.2406,0.0134,0.2474
1995,INDUSTRY,0.1617,0.2647,0.0557,0.1892
2402,MACRO,0.0836,0.4697,0.0246,0.2472
1535,MICRO,0.0815,0.1717,0.0518,0.2106
2815,OTHER,0.0287,0.2371,0.0111,0.2312
2675,DEMOGRAPHIC,0.0672,0.4675,0.0246,0.1843
2590,FINANCE,0.0103,0.2738,0.0014,0.2740
2066,INDUSTRY,0.1456,0.2076,0.0503,0.2071
2310,MACRO,0.0532,0.2466,0.0182,0.2387
1550,MICRO,0.1884,0.2882,0.0790,0.2801
2826,OTHER,0.0141,0.2966,0.0057,0.2863
2687,DEMOGRAPHIC,0.1415,0.2694,0.0327,0.2704
2556,FINANCE,0.0865,0.5814,0.0173,0.5422
2028,INDUSTRY,0.1732,0.3407,0.0645,0.3127
2299,MACRO,0.0381,0.1071,0.0362,0.1767
1798,MICRO,0.1589,0.3227,0.0756,0.2953
2795,OTHER,0.0668,0.0967,0.0306,0.1202
2774,DEMOGRAPHIC,0.0573,0.2772,0.0140,0.3003
2552,FINANCE,0.1367,0.2975,0.0391,0.3570
1882,INDUSTRY,0.0537,0.4048,0.0090,0.4223
2298,MACRO,0.0520,0.2689,0.0182,0.2806
1816,MICRO,0.0950,0.2729,0.0491,0.2512
2804,OTHER,0.0294,0.1908,0.0104,0.2330
2711,DEMOGRAPHIC,0.0335,0.2513,0.0143,0.2615
2652,FINANCE,0.1703,0.5224,0.0795,0.4525
2032,INDUSTRY,0.0773,0.2370,0.0403,0.2246
2340,MACRO,0.0549,0.2438,0.0298,0.1998
1775,MICRO,0.0767,0.2124,0.0388,0.1976
2811,OTHER,0.1165,0.2848,0.0539,0.2823
2681,DEMOGRAPHIC,0.0920,0.4833,0.0423,0.2778
2522,FINANCE,0.0884,0.3976,0.0318,0.3712
2014,INDUSTRY,0.1442,0.2837,0.0500,0.2648
2463,MACRO,0.0486,0.2078,0.0272,0.1905
1722,MICRO,0.1547,0.2159,0.0731,0.2010
2816,OTHER,0.0208,0.1792,0.0071,0.1824
2692,DEMOGRAPHIC,0.0169,0.3005,0.0026,0.2936
2549,FINANCE,0.0322,0.2037,0.0119,0.2005
2100,INDUSTRY,0.0806,0.2709,0.0619,0.2513
2364,MACRO,0.0529,0.2090,0.0196,0.2029
1468,MICRO,0.1010,0.2403,0.0504,0.2435
2801,OTHER,0.0258,0.1653,0.0101,0.2906
2767,DEMOGRAPHIC,0.1757,0.2124,0.0618,0.1925
2569,FINANCE,0.0994,0.2163,0.0406,0.2165
1969,INDUSTRY,0.1537,0.2637,0.0581,0.2386
2285,MACRO,0.0572,0.2808,0.0190,0.2776
1765,MICRO,0.1011,0.1632,0.0447,0.1827
2785,OTHER,0.0845,0.1036,0.0360,0.0961
2716,DEMOGRAPHIC,0.0095,0.4370,0.0013,0.4292
2591,FINANCE,0.0101,0.2502,0.0017,0.2532
1884,INDUSTRY,0.0827,0.4674,0.0268,0.2993
2503,MACRO,0.0316,0.1464,0.0288,0.1985
1647,MICRO,0.1760,0.2735,0.0789,0.1847
2793,OTHER,0.0722,0.1615,0.0313,0.1518
2745,DEMOGRAPHIC,0.1214,0.5443,0.0524,0.5332
2580,FINANCE,0.1065,0.3779,0.0422,0.3919
2204,INDUSTRY,0.0858,0.2265,0.0358,0.1889
2305,MACRO,0.0513,0.3274,0.0198,0.3270
1492,MICRO,0.1217,0.2272,0.0620,0.2172
2781,OTHER,0.2589,0.2572,0.0968,0.2604
2764,DEMOGRAPHIC,0.1932,0.8612,0.0591,0.2546
2564,FINANCE,0.0104,0.2567,0.0022,0.2390
2022,INDUSTRY,0.1697,0.2594,0.0648,0.1961
2320,MACRO,0.0282,0.4155,0.0049,0.3988
1582,MICRO,0.0765,0.2766,0.0635,0.2118
2810,OTHER,0.0679,0.3195,0.0339,0.2919
2750,DEMOGRAPHIC,0.0977,0.2370,0.0642,0.2339
2581,FINANCE,0.0226,0.2746,0.0087,0.3330
1956,INDUSTRY,0.0971,0.2244,0.0711,0.1989
2441,MACRO,0.1054,0.5120,0.0238,0.4983
1415,MICRO,0.1994,0.2956,0.0835,0.2815
2803,OTHER,0.0389,0.7159,0.0149,0.6312
2739,DEMOGRAPHIC,0.0697,0.1613,0.0507,0.1775
2607,FINANCE,0.1393,0.2130,0.0487,0.2131
1982,INDUSTRY,0.0807,0.1770,0.0429,0.1906
2480,MACRO,0.0971,0.2048,0.0418,0.1893
1644,MICRO,0.1255,0.3503,0.0500,0.3516
2780,OTHER,0.1309,0.2634,0.0912,0.2282
2744,DEMOGRAPHIC,0.1366,0.5402,0.0417,0.5847
2570,FINANCE,0.0114,0.4100,0.0018,0.4155
2166,INDUSTRY,0.0940,0.4224,0.0358,0.2769
2373,MACRO,0.0676,0.2523,0.0237,0.2347
1490,MICRO,0.0872,0.2426,0.0695,0.2734
2796,OTHER,0.0888,0.1740,0.0391,0.1796
2710,DEMOGRAPHIC,0.0661,0.4357,0.0229,0.3562
2563,FINANCE,0.0740,0.3122,0.0197,0.3500
1980,INDUSTRY,0.1527,0.2086,0.0627,0.1978
2291,MACRO,0.1015,0.3046,0.0418,0.2765
1827,MICRO,0.1241,0.2598,0.0753,0.2378
2823,OTHER,0.1167,0.1669,0.0665,0.0818
2719,DEMOGRAPHIC,0.0199,0.2213,0.0058,0.2174
2560,FINANCE,0.1323,0.2919,0.0718,0.2240
2087,INDUSTRY,0.1686,0.2283,0.0569,0.2259
2267,MACRO,0.0728,0.4388,0.0410,0.4058
1672,MICRO,0.1906,0.3748,0.0771,0.2931
2794,OTHER,0.0792,0.1435,0.0352,0.1702
2759,DEMOGRAPHIC,0.2353,0.7200,0.0432,0.2534
2660,FINANCE,0.0601,0.3070,0.0203,0.2725
1975,INDUSTRY,0.1035,0.2286,0.0401,0.2191
2337,MACRO,0.0367,0.1973,0.0264,0.2499
1858,MICRO,0.1194,0.2765,0.0671,0.2624
2824,OTHER,0.0287,0.0834,0.0234,0.2051
2754,DEMOGRAPHIC,0.0637,0.1521,0.0524,0.1190
2643,FINANCE,0.0992,0.2460,0.0240,0.1906
1958,INDUSTRY,0.1207,0.2957,0.0601,0.2544
2357,MACRO,0.0798,0.2498,0.0184,0.2734
1749,MICRO,0.1248,0.2036,0.0671,0.1732
2818,OTHER,0.0247,0.1932,0.0090,0.2759
2672,DEMOGRAPHIC,0.1541,0.2856,0.0601,0.2810
2666,FINANCE,0.0401,0.1331,0.0182,0.1775
2092,INDUSTRY,0.0826,0.3221,0.0304,0.3566
2487,MACRO,0.0176,0.4100,0.0022,0.4239
1739,MICRO,0.1012,0.2226,0.0477,0.2199
2805,OTHER,0.0480,0.1619,0.0155,0.1627
2735,DEMOGRAPHIC,0.0784,0.5019,0.0316,0.4179
2530,FINANCE,0.0672,0.3995,0.0236,0.4126
2050,INDUSTRY,0.0662,0.2316,0.0438,0.2276
2319,MACRO,0.0168,0.4265,0.0031,0.4216
1503,MICRO,0.1411,0.1963,0.0629,0.1734
2789,OTHER,0.0733,0.0942,0.0323,0.1005
2755,DEMOGRAPHIC,0.0322,0.1527,0.0405,0.1803
2605,FINANCE,0.0653,0.2363,0.0609,0.2542
2128,INDUSTRY,0.0980,0.2278,0.0593,0.2424
2459,MACRO,0.1014,0.1777,0.0363,0.2457
1544,MICRO,0.1932,0.2614,0.0769,0.2396
2802,OTHER,0.0515,0.1232,0.0205,0.1150
2777,DEMOGRAPHIC,0.0212,0.4959,0.0049,0.4753
2604,FINANCE,0.1200,0.4212,0.0505,0.3655
1920,INDUSTRY,0.1284,0.2237,0.0519,0.2029
2394,MACRO,0.1430,0.3571,0.0248,0.3971
1607,MICRO,0.1878,0.3316,0.0732,0.3518
2817,OTHER,0.0792,0.1259,0.0360,0.4410
2736,DEMOGRAPHIC,0.0633,0.1152,0.0487,0.1197
2609,FINANCE,0.1039,0.1770,0.0350,0.1504
2008,INDUSTRY,0.1172,0.3330,0.0547,0.2276
2327,MACRO,0.0638,0.2205,0.0321,0.1927
1727,MICRO,0.0917,0.2756,0.0470,0.2776
2784,OTHER,0.0814,0.1205,0.0327,0.1162
2761,DEMOGRAPHIC,0.1505,0.5766,0.0438,0.2488
2611,FINANCE,0.1308,0.2557,0.0259,0.2557
2180,INDUSTRY,0.1179,0.2291,0.0463,0.2111
2272,MACRO,0.0847,0.2199,0.0387,0.2192
